endTime,artistName,trackName,msPlayed
2024-05-30 17:24,Tanishk Bagchi,"Rammo Rammo (From ""Bhuj The Pride Of India"")",673
2024-05-30 17:24,Mohit Lalwani,Radhakrishna Naamawali Chant,534
2024-05-30 17:24,Amit Trivedi,Madhubala,534
2024-05-30 17:24,Amit Trivedi,Jadu Salona,835
2024-05-30 17:24,Rahul Vaidya,Madhanya,835
2024-05-30 17:24,Sachin-Jigar,Khoya Khoya,1741
2024-05-30 17:24,Prateek Kuhad,Tere Hi Hum,1044
2024-05-30 17:24,Anand Bhaskar Collective,Malhar,557
2024-05-30 17:24,Rekha Bhardwaj,Mileya Mileya,882
2024-05-30 17:24,Shreya Ghoshal,Yeh Aaina,534
2024-05-30 17:24,Kshitij Anand,Until I Found You - Hindi Version,835
2024-05-30 17:24,Vishal-Shekhar,Titli,1184
2024-05-30 17:24,Rahat Fateh Ali Khan,Tum Jo Aaye & Tere Bin Nahin Lagda,487
2024-05-30 17:24,A.R. Rahman,Tum Tak,106933
2024-05-30 17:24,Mohit Chauhan,"Tum Se Hi (From ""Love In Lo-Fi Volume 1"")",417
2024-05-30 17:24,Amit Trivedi,LAAGNI,603
2024-05-30 17:24,Arun Muraleedharan,"Aval - From ""Op 160/18 Kakshi: Amminippilla""",952
2024-05-30 17:24,Anumita Nadesan,Khwaab,534
2024-05-30 17:24,Derek Gust,Day One (feat. Tayler Gust),603
2024-05-30 17:24,Shankar-Ehsaan-Loy,Bol Na Halke Halke,557
2024-05-30 17:24,Shreya Ghoshal,"Sunn Raha Hai (From ""Aashiqui 2"")",1416
2024-05-30 17:24,Rajat Nagpal,Main Royaan,1137
2024-05-30 17:24,Pritam,Radha,1927
2024-05-30 17:24,Pritam,Hardum Humdum,464
2024-05-30 17:24,Pritam,Kyon,580
2024-05-30 17:24,Yasser Desai,Mann Jogiya,394
2024-05-30 17:24,Himonshu Parikh,Katputli Ke Dhaage,534
2024-05-30 17:25,When Chai Met Toast,Tere Aane Se,63943
2024-05-30 17:25,Kanika,Runak Jhunak,789
2024-05-30 17:25,Aditi Singh Sharma,Meet (Female Version),1184
2024-05-30 17:25,Anand Bhaskar Collective,Jaadoogari,1184
2024-05-30 17:25,Arijit Singh,"Mere Yaaraa & Tu Jo Mila (From ""Love In Lo-Fi Volume 1"")",1849
2024-05-30 17:25,Amit Trivedi,Ajnabi,1230
2024-05-30 17:25,Pritam,"Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani"")",1300
2024-05-30 17:25,Pritam,Hardum Humdum (Female Version),928
